2022-06-12 21:05:16,615 (ERROR)	||| Generic error in ETL's test, check the code!
2022-06-12 21:06:40,856 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 21:06:41,623 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 21:06:41,637 (INFO)	||| ETL finished!
2022-06-12 21:06:41,639 (INFO)	||| test finished!
2022-06-12 21:06:41,640 (INFO)	||| Initing extract of ETL to obtain BTC historical data in BRL value!
2022-06-12 21:06:42,093 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 21:06:42,097 (INFO)	||| ETL finished!
2022-06-12 21:06:42,097 (INFO)	||| test finished!
2022-06-12 21:06:42,098 (INFO)	||| Initing extract of ETL to obtain BTC historical data in CNY value!
2022-06-12 21:06:43,586 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 21:06:43,592 (INFO)	||| ETL finished!
2022-06-12 21:06:43,593 (INFO)	||| test finished!
2022-06-12 21:06:43,595 (INFO)	||| Initing extract of ETL to obtain BTC historical data in EUR value!
2022-06-12 21:06:44,203 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 21:06:44,219 (INFO)	||| ETL finished!
2022-06-12 21:06:44,220 (INFO)	||| test finished!
2022-06-12 21:06:44,222 (INFO)	||| Initing extract of ETL to obtain BTC historical data in GBP value!
2022-06-12 21:06:45,030 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 21:06:45,039 (INFO)	||| ETL finished!
2022-06-12 21:06:45,040 (INFO)	||| test finished!
2022-06-12 21:08:44,216 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 21:08:45,691 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 21:08:45,707 (INFO)	||| ETL finished!
2022-06-12 21:17:13,383 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 21:17:14,281 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 21:17:14,293 (INFO)	||| ETL finished!
2022-06-12 21:19:26,223 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 21:19:27,011 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 21:19:27,027 (INFO)	||| ETL finished!
